CMAbbreviation,SCC,Status
ACHMADDBFL,2805020000,CURRENT
ACHMADDBFL,2805020001,CURRENT
ACHMADDBFL,2805020002,CURRENT
ACHMADDBFL,2805020003,CURRENT
ACHMADDBFL,2805020004,CURRENT
ACHMADDCHK,2805030000,CURRENT
ACHMADDCHK,2805030001,CURRENT
ACHMADDCHK,2805030002,CURRENT
ACHMADDCHK,2805030003,CURRENT
ACHMADDCHK,2805030004,CURRENT
ACHMADDCHK,2805030007,CURRENT
ACHMADDCHK,2805030008,CURRENT
ACHMADDCHK,2805030009,CURRENT
ACHMADDHOG,2805025000,CURRENT
NLNBSPWHNG,2104006000,CURRENT
NLNBSPWHNG,2104006010,CURRENT
NLNBSPWHNG,2862000000,CURRENT
NLNBSPWHNG,2862002000,CURRENT
NR50COL96,2102001000,CURRENT
NR50COL96,2102002000,CURRENT
NR50NGC96,2102006000,CURRENT
NR50NGC96,2102006002,CURRENT
NR50OIL96,2102004000,CURRENT
NR50OIL96,2102005000,CURRENT
NSCRICGS,2101006000,CURRENT
NSCRICGS,2101006002,CURRENT
NSCRICGS,2102006000,CURRENT
NSCRICGS,2102006002,CURRENT
NSCRICGS,2103006000,CURRENT
NSCRICGS,2199006000,CURRENT
NSCRICGS,2199006002,CURRENT
NSCRLOCO96,2285002000,INACTIVE
NWLCMNGC99,2103006000,CURRENT
NWLRSNGC99,2104006000,CURRENT
PAGBU,2801500000,CURRENT
PAGBU,2801500100,CURRENT
PAGBU,2801500111,CURRENT
PAGBU,2801500112,CURRENT
PAGBU,2801500120,CURRENT
PAGBU,2801500130,CURRENT
PAGBU,2801500141,CURRENT
PAGBU,2801500142,CURRENT
PAGBU,2801500150,CURRENT
PAGBU,2801500160,CURRENT
PAGBU,2801500170,CURRENT
PAGBU,2801500181,CURRENT
PAGBU,2801500182,CURRENT
PAGBU,2801500191,CURRENT
PAGBU,2801500192,CURRENT
PAGBU,2801500201,CURRENT
PAGBU,2801500202,CURRENT
PAGBU,2801500210,CURRENT
PAGBU,2801500220,CURRENT
PAGBU,2801500230,CURRENT
PAGBU,2801500240,CURRENT
PAGBU,2801500250,CURRENT
PAGBU,2801500261,CURRENT
PAGBU,2801500262,CURRENT
PAGBU,2801500300,CURRENT
PAGBU,2801500310,CURRENT
PAGBU,2801500320,CURRENT
PAGBU,2801500330,CURRENT
PAGBU,2801500340,CURRENT
PAGBU,2801500350,CURRENT
PAGBU,2801500360,CURRENT
PAGBU,2801500370,CURRENT
PAGBU,2801500380,CURRENT
PAGBU,2801500390,CURRENT
PAGBU,2801500400,CURRENT
PAGBU,2801500410,CURRENT
PAGBU,2801500420,CURRENT
PAGBU,2801500430,CURRENT
PAGBU,2801500440,CURRENT
PAGBU,2801500450,CURRENT
PAGBU,2801500500,CURRENT
PAGBU,2801500600,CURRENT
PAGBU,2801500610,CURRENT
PAGBU,2801500620,CURRENT
PAGBU,2801501000,CURRENT
PAGBU,2801501105,CURRENT
PAGBU,2801501130,CURRENT
PAGBU,2801501170,CURRENT
PAGBU,2801501260,CURRENT
PAGBU,2801501270,CURRENT
PAGBU,2801502000,CURRENT
PAGBU,2801502105,CURRENT
PAGBU,2801502130,CURRENT
PAGBU,2801502170,CURRENT
PAGBU,2801502260,CURRENT
PAGBU,2801502270,CURRENT
PAGTL,2801000003,CURRENT
