CMName,CMAbbreviation,MajorPoll,ControlTechnology,SourceGroup,Sector,Class,EquipLife,NEIDeviceCode,DateReviewed,DataSource,Description
Chemical Additives to Waste;Cattle Feedlots,ACHMADDBFL,NH3,Chemical Additives to Waste,Cattle Feedlots,AG,Known,,,2000,1|2|82,
Chemical Additives to Waste;Poultry Operations,ACHMADDCHK,NH3,Chemical Additives to Waste,Poultry Operations,AG,Known,,,1999,1|2|82|83,
Chemical Additives to Waste;Hog Operations,ACHMADDHOG,NH3,Chemical Additives to Waste,Hog Operations,AG,Known,,,1999,1|2|82,
Emergent Control; Dairy,AEMRGDIARY,NH3,Emergent Control,Dairy Operations,AG,Emerging,,,2006,84,
Emergent Control; Swine,AEMRGHOG,NH3,Emergent Control,Hog Operations,AG,Emerging,,,2006,84,
Seasonal Ban (Ozone Season Daily Only) (base year = 1996);Agricultural Burning,NEPABURN96,NOx,Seasonal Ban (Ozone Season Daily Only),Agricultural Burning,NONPT,Known,,,1997,1|2|6,
Episodic Ban (Daily Only) (base year = 1996);Open Burning,NEPOBRUN96,NOx,Episodic Ban (Daily Only),Open Burning,NONPT,Known,,,1996,1|2|6|80,
"LNB; Water Heater, Space Heater - Natural Gas",NLNBSPWHNG,NOX,LNB,"Water Heater, Space Heater - Natural Gas",NONPT,Known,,,2006,2,
LNB (1997 AQMD) (base year = 2003);Commercial/Institutional - NG,NLNCMNGC03,NOx,LNB (1997 AQMD),Commercial/Institutional - NG,NONPT,Known,,,,1,
LNB (1997 AQMD) (base year = 2003);Residential NG,NLNRSNGC03,NOx,LNB (1997 AQMD),Residential NG,NONPT,Known,,,,1,
RACT to 25 tpy (LNB) (base year = 1996);Industrial Coal Combustion,NR25COL96,NOx,RACT to 25 tpy (LNB),Industrial Coal Combustion,NONPT,Known,10,,1998,1|2|5|80,
RACT to 25 tpy (LNB) (base year = 1996);Industrial NG Combustion,NR25NGC96,NOx,RACT to 25 tpy (LNB),Industrial NG Combustion,NONPT,Known,10,,1998,1|2|5|80,
RACT to 25 tpy (LNB) (base year = 1996);Industrial Oil Combustion,NR25OIL96,NOx,RACT to 25 tpy (LNB),Industrial Oil Combustion,NONPT,Known,10,,1998,1|2|5|80,
RACT to 50 tpy (LNB) (base year = 1996);Industrial Coal Combustion,NR50COL96,NOx,RACT to 50 tpy (LNB),Industrial Coal Combustion,NONPT,Known,10,,1998,1|2|5|80,
RACT to 50 tpy (LNB) (base year = 1996);Industrial NG Combustion,NR50NGC96,NOx,RACT to 50 tpy (LNB),Industrial NG Combustion,NONPT,Known,10,,1998,1|2|5|80,
RACT to 50 tpy (LNB) (base year = 1996);Industrial Oil Combustion,NR50OIL96,NOx,RACT to 50 tpy (LNB),Industrial Oil Combustion,NONPT,Known,10,,1998,1|2|5|80,
SCR; Internal Combustion Engines - Gas,NSCRICGS,NOX,SCR,Internal Combustion Engines - Gas,NONPT,Known,,,2006,90,
SCR (base year = 1996);Diesel Locomotives,NSCRLOCO96,NOx,SCR,Diesel Locomotives,ALM,Known,,,2004,1|2|79,
Water heater replacement (base year = 1999);Commercial/Institutional - NG,NWHCMNGC99,NOx,Water heater replacement,Commercial/Institutional - NG,NONPT,Known,13,,1997,1|2|6|80|81,
Water heater replacement (base year = 1999);Residential NG,NWHRSNGC99,NOx,Water heater replacement,Residential NG,NONPT,Known,13,,1997,1|2|6|80|81,
Water heater + LNB Space heaters (base year = 1999);Commercial/Institutional - NG,NWLCMNGC99,NOx,Water heater + LNB Space heaters,Commercial/Institutional - NG,NONPT,Known,20,,1997,1|2|6|38,
Water heater + LNB Space heaters (base year = 1999);Residential NG,NWLRSNGC99,NOx,Water heater + LNB Space heaters,Residential NG,NONPT,Known,20,,1997,1|2|6|38,
"Whole Field, Propaning, Stack;Agricultural Burning",PAGBU,PM10,Bale Stack/Propane Burning,Agricultural Burning,NONPT,Known,,,1998,1|2|3|4|5,
Soil Conservation;Agricultural Tilling,PAGTL,PM10,Soil Conservation Plans,Agricultural Tilling,NONPT,Known,,,1997,1|2|6|7,
Watering;Beef Cattle Feedlots (Dust Kickup),PCATFWAT,PM10,Watering,Beef Cattle Feedlots,NONPT,Known,10,,1998,1|2|14|15,
Substitute chipping for burning; Household burning,PCHIPHB,PM2_5,Substitute chipping for burning,Household burning,PTFIRE,Emerging,,,,91,Uses state-level emission reduction and control cost data
Substitute chipping for burning; Open burning,PCHIPOB,PM2_5,Substitute chipping for burning,Open burning,PTFIRE,Emerging,,,,91,Uses state-level emission reduction and control cost data
Catalytic Oxidizer;Commercial Cooking (Charbroiling) - 1,PCHRBCAOX1,PM10,Catalytic Oxidizer,Conveyorized Charbroilers,NONPT,Known,10,,2005,1|2|21|22,
Catalytic Oxidizer;Commercial Cooking (Charbroiling) - 2,PCHRBCAOX2,PM10,Catalytic Oxidizer,Conveyorized Charbroilers,NONPT,Known,10,,2005,1|2|21|22,
ESP;Commercial Cooking (Charbroiling),PCHRBESP,PM10,ESP for Commercial Cooking,Conveyorized Charbroilers,NONPT,Known,,,2006,1|2|23,
ESP;Commercial Cooking -- large underfired grilling operations,PCHRBESPSM,PM10,ESP,Commercial Cooking -- large underfired grilling operations,NONPT,Known,,,2006,2,
"Dust Control Plan;Residential, Industrial, Commercial, Institutional, Road Construction",PCONWATCHM,PM10,Dust Control Plan,Construction Activities,AFDUST,Known,,,1997,1|2|6|16|17,
Fireplace Inserts; Home Heating,PFIRINSHH,PM2_5,Fireplace Inserts,Home Heating,NONPT,Emerging,,,,91,Increasing the assumed adoption rate can take place by increasing the rate of housing stock turnover and assuming NSPS-compliant wood stoves are installed in place of older conventional wood stoves at the time of turnover.
HDD Nonroad Engine Retrofit;Off-Highway Diesel Vehicles,PHDDRETRO,PM10,HDD Nonroad Engine Retrofit,Nonroad Heavy Duty Diesel,NONROAD,Known,,,1997,1|2|3,
Substitution of landfilling for open burning; Open Burns,PLNDFILBRN,PM10,Substitution of landfilling for open burning,Open Burning,NONPT,Emerging,,,2006,84,
