"CMAbbreviation","CMEqnType","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10","CostYear"
"NSNCRIBCW","Type 2",110487.6,0.42,3440.9,0.73,67093.8,0.42,7514.2,0.42,0.09,,1990
"NLNBUIBCW","Type 2",53868.7,0.6,11861.1,0.6,53868.7,0.6,11861.1,0.6,0.14,,1990
"NSCRIBCW","Type 2",82400.9,0.65,5555.6,0.79,79002.2,0.65,8701.5,0.65,0.09,,1990
"NSNCRIBCF","Type 2",15972.8,0.6,4970.5,0.6,15972.8,0.6,3059.2,0.6,0.09,,1990
"NSNCRIBCS","Type 2",110487.6,0.42,3440.9,0.73,67093.8,0.42,7514.2,0.42,0.09,,1990
"NSNCRIBRO","Type 2",62148.8,0.42,2012.4,0.72,48002.6,0.42,5244.4,0.42,0.09,,1990
"NSCRIBRO","Type 2",33206.3,0.65,2498.1,0.73,40891.3,0.65,4481.5,0.65,0.09,,1990
"NSNCRIBDO","Type 2",62148.8,0.42,2012.4,0.72,48002.6,0.42,5244.4,0.42,0.09,,1990
"NSCRIBDO","Type 2",33206.3,0.65,2498.1,0.73,40891.3,0.65,4481.5,0.65,0.09,,1990
"NSNCRIBNG","Type 2",62148.8,0.42,2012.4,0.72,48002.6,0.42,5244.4,0.42,0.09,,1990
"NSCRIBNG","Type 2",33206.3,0.65,2498.1,0.73,40891.3,0.65,4481.5,0.65,0.09,,1990
"NSNCRIBWS","Type 2",65820.1,0.36,17777.1,0.35,65820.1,0.36,17777.1,0.35,0.09,,1990
"NSNCRIBWF","Type 2",9855.6,0.6,4185.4,0.6,9855.6,0.6,4185.4,0.6,0.09,,1990
"NWTINGTOL","Type 2",54453.5,0.57,9687.9,0.76,54453.5,0.57,9687.9,0.76,0.11,,1990
"NSCRWGTOL","Type 2",123980.2,0.59,36100.2,0.66,70538.9,0.61,28972.5,0.58,0.11,,1990
"NWTINGTNG","Type 2",4284.2,1.01,145.7,1.47,4284.2,1.01,145.7,1.47,0.11,,1990
"NSTINGTNG","Type 2",9693.1,0.92,764.3,1.15,9693.1,0.92,764.3,1.15,0.11,,1990
"NLNBUGTNG","Type 2",71281.1,0.51,7826.3,0.51,71281.1,0.51,7826.3,0.51,0.11,,1990
"NSCRLGTNG","Type 2",86461.8,0.64,19916.7,0.66,33203.7,0.73,13920,0.69,0.11,,1990
"NSCRSGTNG","Type 2",90606.2,0.67,25936.7,0.69,15278.8,0.85,5477.9,0.84,0.11,,1990
