POLLUTANT_CODE,POLLUTANT_CODE_DESC,HAP_CATEGORY_NAME,Chemical Formula,Molecular Weight,ACTIVE,LAST_MODIFICATION_DATE,VALID_V20,VALID_V30,COMMENT,Urban HAP 33,Urban HAP_baseline_33,NATO_TEQ,WHO_TEQ,I_TEQ,OzonePrecursor,PMPrecursor,HAP_or_CAP,Pollutant_Rank
121448,Triethylamine,Triethylamine,C6H15N,101.19,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
121697,"N,N-Dimethylaniline","N,N-Dimethylaniline",C8H11N,121.18,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
122667,"1,2-Diphenylhydrazine","1,2-Diphenylhydrazine",C12H12N2,184.24,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
122996,Phenyl Cellosolve,Glycol Ethers,C8H10O2,138.17,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
123319,Hydroquinone,Hydroquinone,C6H6O2,110.11,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
123386,Propionaldehyde,Propionaldehyde,C3H6O,58.08,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
123739,Crotonaldehyde,,,,N,9/19/2002 0:00,Y,N,,0,0,,,,0,0,,
123911,p-Dioxane,p-Dioxane,C4H8O2,88.11,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
124174,Butyl Carbitol Acetate,Glycol Ethers,C10H20O4,204.27,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
125,Cadmium & Compounds,Cadmium Compounds,,,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,2
12504487,Nickel Hydroxide,Nickel Compounds,,,N,9/19/2002 0:00,Y,N,,0,0,,,,0,0,,
12626812,Lead Titanate Zircon,Lead Compounds,"Pb(Ti,Zr)O3",394.32,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
12640890,Selenium Oxide,Selenium Compounds,SeO,94.96,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
126998,Chloroprene,Chloroprene,C4H5Cl,88.54,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
12710360,Nickel Carbide,Nickel Compounds,Ni3C,188.1,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
1271289,Nickelocene,Nickel Compounds,C10H10Ni,188.88,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
127184,Tetrachloroethylene,Tetrachloroethylene (Perchloroethylene),C2Cl4,165.83,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,0,HAP,1
129000,Pyrene,Polycyclic Organic Matter as 15-PAH,C16H10,202.26,Y,11/26/2001 11:02,Y,Y,,0,1,,,,1,1,HAP,1
