"Sector","Active","MapTo","SCC","SCC_L1","SCC_L2","SCC_L3","SCC_L4","CREATED","REVISED","REV_WHAT","COMMENT"
"POINT",,,"101","External Combustion Boilers",,,,,,,"Added 3 Digit SCC"
"POINT",,,"101001","External Combustion Boilers","Electric Generation","Anthracite Coal",,,,,"Added 6 Digit SCC"
"POINT",,,"10100101","External Combustion Boilers","Electric Generation","Anthracite Coal","Pulverized Coal",,,,
"POINT",,,"10100102","External Combustion Boilers","Electric Generation","Anthracite Coal","Traveling Grate (Overfeed) Stoker",,,,
"POINT",,,"101002","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal",,,,,"Added 6 Digit SCC"
"POINT",,,"10100201","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom (Bituminous Coal)",,,,
"POINT",,,"10100202","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Bituminous Coal)",,,,
"POINT",,,"10100203","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cyclone Furnace (Bituminous Coal)",,,,
"POINT",,,"10100204","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Spreader Stoker (Bituminous Coal)",,,,
"POINT",,,"10100205","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Traveling Grate (Overfeed) Stoker (Bituminous Coal)",,,,
"POINT",,,"10100211","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Wet Bottom (Tangential) (Bituminous Coal)",,,,
"POINT",,,"10100212","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Tangential) (Bituminous Coal)",,,,
"POINT",,,"10100215","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cell Burner (Bituminous Coal)",,,,
"POINT",,,"10100217","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Bubbling Bed (Bituminous Coal)",,,,
"POINT",,,"10100218","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Circulating Bed (Bitum. Coal)",,,,
"POINT",,,"10100221","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Wet Bottom (Subbituminous Coal)",,,,
"POINT",,,"10100222","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom (Subbituminous Coal)",,,,
"POINT",,,"10100223","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cyclone Furnace (Subbituminous Coal)",,,,
"POINT",,,"10100224","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Spreader Stoker (Subbituminous Coal)",,,,
"POINT",,,"10100225","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Traveling Grate (Overfeed) Stoker (Subbituminous Coal)",,,,
"POINT",,,"10100226","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Pulverized Coal: Dry Bottom Tangential (Subbituminous Coal)",,,,
"POINT",,,"10100235","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Cell Burner (Subbituminous Coal)",,,,
"POINT",,,"10100237","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion: Bubbling Bed (Subbitum Coal)","6/6/2003",,,
"POINT",,,"10100238","External Combustion Boilers","Electric Generation","Bituminous/Subbituminous Coal","Atmospheric Fluidized Bed Combustion - Circulating Bed (Subbitum Coal)",,,,
"POINT",,,"101003","External Combustion Boilers","Electric Generation","Lignite",,,,,"Added 6 Digit SCC"
"POINT",,,"10100300","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Wet Bottom",,,,
"POINT",,,"10100301","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Dry Bottom, Wall Fired",,,,
"POINT",,,"10100302","External Combustion Boilers","Electric Generation","Lignite","Pulverized Coal: Dry Bottom, Tangential Fired",,,,
"POINT",,,"10100303","External Combustion Boilers","Electric Generation","Lignite","Cyclone Furnace",,,,
"POINT",,,"10100304","External Combustion Boilers","Electric Generation","Lignite","Traveling Grate (Overfeed) Stoker",,,,
"POINT",,,"10100306","External Combustion Boilers","Electric Generation","Lignite","Spreader Stoker",,,,
"POINT",,,"10100316","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed ** (See 101003-17 & -18)",,,,
"POINT",,,"10100317","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed Combustion - Bubbling Bed",,,,
"POINT",,,"10100318","External Combustion Boilers","Electric Generation","Lignite","Atmospheric Fluidized Bed Combustion - Circulating Bed",,,,
"POINT",,,"101004","External Combustion Boilers","Electric Generation","Residual Oil",,,,,"Added 6 Digit SCC"
"POINT",,,"10100401","External Combustion Boilers","Electric Generation","Residual Oil","Grade 6 Oil: Normal Firing",,,,
"POINT",,,"10100404","External Combustion Boilers","Electric Generation","Residual Oil","Grade 6 Oil: Tangential Firing",,,,
"POINT",,,"10100405","External Combustion Boilers","Electric Generation","Residual Oil","Grade 5 Oil: Normal Firing",,,,
